"","GEOID","NAME","variable","estimate","moe"
"1","36001","Albany County, New York","B01003_001",306968,NA
"2","36003","Allegany County, New York","B01003_001",46688,NA
"3","36005","Bronx County, New York","B01003_001",1435068,NA
"4","36007","Broome County, New York","B01003_001",193188,NA
"5","36009","Cattaraugus County, New York","B01003_001",77121,NA
"6","36011","Cayuga County, New York","B01003_001",77425,NA
"7","36013","Chautauqua County, New York","B01003_001",128496,NA
"8","36015","Chemung County, New York","B01003_001",84895,NA
"9","36017","Chenango County, New York","B01003_001",47909,NA
"10","36019","Clinton County, New York","B01003_001",80583,NA
"11","36021","Columbia County, New York","B01003_001",60371,NA
"12","36023","Cortland County, New York","B01003_001",47865,NA
"13","36025","Delaware County, New York","B01003_001",44995,NA
"14","36027","Dutchess County, New York","B01003_001",293754,NA
"15","36029","Erie County, New York","B01003_001",919355,NA
"16","36031","Essex County, New York","B01003_001",37459,NA
"17","36033","Franklin County, New York","B01003_001",50477,NA
"18","36035","Fulton County, New York","B01003_001",53646,NA
"19","36037","Genesee County, New York","B01003_001",57808,NA
"20","36039","Greene County, New York","B01003_001",47424,NA
"21","36041","Hamilton County, New York","B01003_001",4515,NA
"22","36043","Herkimer County, New York","B01003_001",62057,NA
"23","36045","Jefferson County, New York","B01003_001",112842,NA
"24","36047","Kings County, New York","B01003_001",2589974,NA
"25","36049","Lewis County, New York","B01003_001",26572,NA
"26","36051","Livingston County, New York","B01003_001",63591,NA
"27","36053","Madison County, New York","B01003_001",71205,NA
"28","36055","Monroe County, New York","B01003_001",743341,NA
"29","36057","Montgomery County, New York","B01003_001",49302,NA
"30","36059","Nassau County, New York","B01003_001",1356509,NA
"31","36061","New York County, New York","B01003_001",1631993,NA
"32","36063","Niagara County, New York","B01003_001",210820,NA
"33","36065","Oneida County, New York","B01003_001",229959,NA
"34","36067","Onondaga County, New York","B01003_001",462872,NA
"35","36069","Ontario County, New York","B01003_001",109511,NA
"36","36071","Orange County, New York","B01003_001",380085,NA
"37","36073","Orleans County, New York","B01003_001",40904,NA
"38","36075","Oswego County, New York","B01003_001",118339,NA
"39","36077","Otsego County, New York","B01003_001",59972,NA
"40","36079","Putnam County, New York","B01003_001",98787,NA
"41","36081","Queens County, New York","B01003_001",2287388,NA
"42","36083","Rensselaer County, New York","B01003_001",159185,NA
"43","36085","Richmond County, New York","B01003_001",474893,NA
"44","36087","Rockland County, New York","B01003_001",324422,NA
"45","36089","St. Lawrence County, New York","B01003_001",108913,NA
"46","36091","Saratoga County, New York","B01003_001",228502,NA
"47","36093","Schenectady County, New York","B01003_001",154859,NA
"48","36095","Schoharie County, New York","B01003_001",31222,NA
"49","36097","Schuyler County, New York","B01003_001",17920,NA
"50","36099","Seneca County, New York","B01003_001",34390,NA
"51","36101","Steuben County, New York","B01003_001",96422,NA
"52","36103","Suffolk County, New York","B01003_001",1483832,NA
"53","36105","Sullivan County, New York","B01003_001",75116,NA
"54","36107","Tioga County, New York","B01003_001",48686,NA
"55","36109","Tompkins County, New York","B01003_001",102642,NA
"56","36111","Ulster County, New York","B01003_001",178665,NA
"57","36113","Warren County, New York","B01003_001",64276,NA
"58","36115","Washington County, New York","B01003_001",61616,NA
"59","36117","Wayne County, New York","B01003_001",90519,NA
"60","36119","Westchester County, New York","B01003_001",968890,NA
"61","36121","Wyoming County, New York","B01003_001",40305,NA
"62","36123","Yates County, New York","B01003_001",25011,NA
